Convention,Day,Text
2020 RNC,Day 4,CONTROL.
2020 RNC,Day 4,I KNOW IN WHICH DIRECTION I AM
2020 RNC,Day 4,HEADED.
2020 RNC,Day 4,"JOIN ME, FOR THE -- FOR THE BEST"
2020 RNC,Day 4,IS YET TO COME.
2020 RNC,Day 4,_
2020 RNC,Day 4,>> HELLO.
2020 RNC,Day 4,"20 YEARS AGO, I MOVED TO"
2020 RNC,Day 4,"WASHINGTON, D.C. TO ATTEND"
2020 RNC,Day 4,HOWARD UNIVERSITY.
2020 RNC,Day 4,"I WAS AT A CROSSROADS, JUST LIKE"
2020 RNC,Day 4,AMERICA IS TODAY.
2020 RNC,Day 4,"I GREW UP IN CLEVELAND, A"
2020 RNC,Day 4,BLUE-COLLAR STREET IN A
2020 RNC,Day 4,BLUE-COLLAR CITY.
2020 RNC,Day 4,WHEN THE MEDIA TALKS ABOUT
2020 RNC,Day 4,"FORGOTTEN PLACES, OR"
2020 RNC,Day 4,"WORKING-CLASS PEOPLE, WHO WERE"
2020 RNC,Day 4,"OVERLOOKED AND STRUGGLING HARD,"
2020 RNC,Day 4,-- ARE OVERLOOKED AND STRUGGLING
2020 RNC,Day 4,"HARD, THEY NEVER SEEM TO SHOW"
2020 RNC,Day 4,"PEOPLE LIKE MY MOM, WHO WORKED"
2020 RNC,Day 4,TWO JOBS AT THE GAS STATION AS A
2020 RNC,Day 4,CLERK.
2020 RNC,Day 4,MY MOM SHOWED ME HOW TO
2020 RNC,Day 4,PERSEVERE.
2020 RNC,Day 4,THEY NEVER SEEM TO SHOW PEOPLE
2020 RNC,Day 4,"LIKE MY DAD, WHO PLOWED SNOW IN"
2020 RNC,Day 4,THE WINTER AND PAVED STREETS IN
2020 RNC,Day 4,THE SUMMER.
2020 RNC,Day 4,WHO STOOD BY ME THROUGH THICK
2020 RNC,Day 4,AND THIN AND TAUGHT ME STRONG
2020 RNC,Day 4,VALUES EVERYDAY.
2020 RNC,Day 4,THEY NEVER SEEM TO SHOW PEOPLE
2020 RNC,Day 4,LIKE ME.
2020 RNC,Day 4,"AT FIRST, I DIDN'T LIVE THE"
2020 RNC,Day 4,VALUES MY PARENTS TAUGHT ME.
2020 RNC,Day 4,I A STARTING SPOT ON THE
2020 RNC,Day 4,"FOR CITY FOOTBALL TEAM, BUT I"
2020 RNC,Day 4,ONLY HAD A 1.9 GPA.
2020 RNC,Day 4,"BUT THEN, I BROKE MY LEG."
2020 RNC,Day 4,IT TOOK A BROKEN LEG FOR ME TO
2020 RNC,Day 4,REALLY GET MOVING IN LIFE.
2020 RNC,Day 4,"I PRIORITIZED SCHOOLWORK, WHAT"
2020 RNC,Day 4,"HOWARD -- WENT TO HOWARD, AND IN"
2020 RNC,Day 4,THAT UP WORKING FOR THE
2020 RNC,Day 4,PRESIDENT OF THE UNITED STATES.
2020 RNC,Day 4,-- ENDED UP WORKING FOR THE
2020 RNC,Day 4,PRESIDENT OF THE UNITED STATES.
2020 RNC,Day 4,"GROWING UP, I BELIEVED ALL THE"
2020 RNC,Day 4,STEREOTYPES.
2020 RNC,Day 4,"IT TOOK A MEETING, REPUBLICANS"
2020 RNC,Day 4,"WHO SHARED MY VALUES, TO SHOW ME"
2020 RNC,Day 4,I WAS WRONG.
2020 RNC,Day 4,DONALD TRUMP KNOWS THAT IN THE
2020 RNC,Day 4,WORK OF REVITALIZING
2020 RNC,Day 4,"COMMUNITIES, AMERICA'S STRENGTH"
2020 RNC,Day 4,IS AMERICA'S PEOPLE.
2020 RNC,Day 4,"AND I CAN TELL YOU, HE REALLY"
2020 RNC,Day 4,CARES.
2020 RNC,Day 4,AND HE TAKES ACTION.
2020 RNC,Day 4,EVERY ISSUE IMPORTANT TO BLACK
2020 RNC,Day 4,COMMUNITIES HAVE BEEN A PRIORITY
2020 RNC,Day 4,FOR HIM.
2020 RNC,Day 4,"PRISON REFORM, REBUILDING BROKEN"
2020 RNC,Day 4,"FAMILIES, BRINGING JOBS BACK TO"
2020 RNC,Day 4,"AMERICA, JOBS IN CLEVELAND, AND"
2020 RNC,Day 4,"DETROIT, -- IN THE TRAIT"
2020 RNC,Day 4,"-- IN DETROIT, IN MILWAUKEE."
2020 RNC,Day 4,THAT IS WHAT HE SECURED
2020 RNC,Day 4,PERMANENT FUNDING FOR HISTORIC
2020 RNC,Day 4,BLACK COLLEGES AND UNIVERSITIES
2020 RNC,Day 4,AND IS FIGHTING HARD FOR SCHOOL
2020 RNC,Day 4,CHOICE.
2020 RNC,Day 4,IN THE WAKE OF THE MURDER OF
2020 RNC,Day 4,"AHMAUD ARBERY, GEORGE FLOYD, AND"
2020 RNC,Day 4,"LEGEND, A MOMENT OF NATIONAL"
2020 RNC,Day 4,RACIAL CONSCIOUSNESS.
2020 RNC,Day 4,I HAVE SEEN HIS TRUE
2020 RNC,Day 4,CONSCIOUSNESS.
2020 RNC,Day 4,I JUST WISH EVERYONE WOULD SEE
2020 RNC,Day 4,THE DEEP SYMPATHY HE SHOWS THE
2020 RNC,Day 4,FAMILIES WHOSE LOVED ONES WERE
2020 RNC,Day 4,KILLED DUE TO SENSELESS
2020 RNC,Day 4,VIOLENCE.
2020 RNC,Day 4,PRESIDENT TRUMP HAS MADE IT
2020 RNC,Day 4,CLEAR THAT IF YOU WANT SAFE
2020 RNC,Day 4,"COMMUNITIES, YOU MUST HAVE"
2020 RNC,Day 4,POLICE DEPARTMENTS WITH THE
2020 RNC,Day 4,HIGHEST STANDARDS.
2020 RNC,Day 4,I WILL NEVER FORGET THE ROAD
2020 RNC,Day 4,WERE THE PEOPLE OF CLEVELAND.
2020 RNC,Day 4,"THEY ARE TOUGH, SMART, AND TELL"
2020 RNC,Day 4,IT LIKE IT IS.
2020 RNC,Day 4,THAT IS PRESIDENT TRUMP.
2020 RNC,Day 4,"FOR A NEW YORKER, HE'S GOT A LOT"
2020 RNC,Day 4,OF CLEVELAND HEART.
2020 RNC,Day 4,AND I'M PROUD TO SAY THAT HE IS
2020 RNC,Day 4,MY PRESIDENT.
2020 RNC,Day 4,GOD BLESS AMERICA.
2020 RNC,Day 4,_
2020 RNC,Day 4,>> PEOPLE ASSUME THAT IF I AM
2020 RNC,Day 4,"NOT A DEMOCRAT ANYMORE, THAT I"
2020 RNC,Day 4,MUST BE A REPUBLICAN OR MUST BE
2020 RNC,Day 4,CONSERVATIVE.
2020 RNC,Day 4,I STILL CONSIDER MYSELF A
2020 RNC,Day 4,"LIBERAL, BUT LIBERALISM CHANGED."
2020 RNC,Day 4,I DON'T FIT THERE ANYMORE.
2020 RNC,Day 4,">> AS A BLACK KID GROWING UP, WE"
2020 RNC,Day 4,WERE TAUGHT THAT YOU HAD TO
2020 RNC,Day 4,"SUPPORT DEMOCRATS, BECAUSE"
2020 RNC,Day 4,REPUBLICANS WERE FOR WHAT
2020 RNC,Day 4,PEOPLE SUPPORTING THE RICH.
2020 RNC,Day 4,>> I'M A DEMOCRAT.
2020 RNC,Day 4,MY PARENTS ARE
2020 RNC,Day 4,DEMOCRATS.
2020 RNC,Day 4,I WAS A HUGE OBAMA SUPPORTER.
2020 RNC,Day 4,>> I VOTED FOR BERNIE SANDERS.
2020 RNC,Day 4,>> I WAS A SOCIALIST.
2020 RNC,Day 4,_
2020 RNC,Day 4,>> IT WASN'T UNTIL I GOT MARRIED
2020 RNC,Day 4,AND BEGAN EXPECTING OUR OWN
2020 RNC,Day 4,FAMILY THAT I BEGAN TO QUESTION
2020 RNC,Day 4,WHETHER OR NOT THE THINGS THAT
2020 RNC,Day 4,WE WERE REALLY PROMOTING AND
2020 RNC,Day 4,SUPPORTING WERE IN LINE WITH THE
2020 RNC,Day 4,WAY WE WERE LIVING.
2020 RNC,Day 4,THAT WAS WHEN THE SHIFT KIND OF
2020 RNC,Day 4,BEGAN FOR US.
2020 RNC,Day 4,>> I WAS RENTING A ROOM.
2020 RNC,Day 4,SHE HAD THREE OR FOUR KIDS FROM
2020 RNC,Day 4,"THREE OR FOUR DIFFERENT FATHERS,"
2020 RNC,Day 4,SHE WAS MY AGE.
2020 RNC,Day 4,MOST OF THEM WERE INCARCERATED.
2020 RNC,Day 4,IT FEELS LIKE DEMOCRATS SORT OF
2020 RNC,Day 4,GET PEOPLE HOOKED ON THIS DRUG
2020 RNC,Day 4,"OF FREE MONEY, WHERE THEY"
2020 RNC,Day 4,BASICALLY SAY IF YOU WANT YOUR
2020 RNC,Day 4,"FIX, YOU HAVE TO KEEP VOTING FOR"
2020 RNC,Day 4,US.
2020 RNC,Day 4,>> THIS BOLD MAN COMES DOWN THE
2020 RNC,Day 4,ESCALATOR IN NEW YORK CITY.
2020 RNC,Day 4,"DEEP DOWN INSIDE, I KNEW IT"
2020 RNC,Day 4,WOULD BE THE FIRST REPUBLICAN I
2020 RNC,Day 4,WOULD VOTE FOR.
2020 RNC,Day 4,>> HIS ENTIRE CAMPAIGN WORKED
2020 RNC,Day 4,FOR ALL AMERICANS.
2020 RNC,Day 4,THAT WAS A TURNING POINT FOR ME.
2020 RNC,Day 4,>> ONE OF THE HARDEST THINGS TO
2020 RNC,Day 4,DO IS TO CHALLENGE YOUR
2020 RNC,Day 4,UNBELIEF.
2020 RNC,Day 4,GO STRAIGHT -- YOUR OWN BELIEF.
2020 RNC,Day 4,GO STRAIGHT TO THE SOURCE.
2020 RNC,Day 4,I WANT PEOPLE TO HEAR MY STORY
2020 RNC,Day 4,AND KNOW THAT YOU CAN ACTUALLY
2020 RNC,Day 4,GO FROM BEING A
2020 RNC,Day 4,DEMOCRATIC-SOCIALIST TO A TRUMP
2020 RNC,Day 4,"SUPPORTER, BUT YOU HAVE TO LOOK"
2020 RNC,Day 4,DEEPER.
2020 RNC,Day 4,>> I THINK THERE'S A POLITICAL
2020 RNC,Day 4,REALIGNMENT TAKING PLACE.
2020 RNC,Day 4,HAVE ALWAYS BEEN VERY ANTIWAR.
2020 RNC,Day 4,"NOW, I AM VERY MUCH FOR"
2020 RNC,Day 4,PRE-SPEECH.
2020 RNC,Day 4,-- FOR FREE SPEECH.
2020 RNC,Day 4,HE IS A PRO-FREE-SPEECH
2020 RNC,Day 4,CANDIDATE.
2020 RNC,Day 4,">> EVERYWHERE YOU LOOK, YOU"
2020 RNC,Day 4,EITHER SAY PROSPERITY AND
2020 RNC,Day 4,LIBERTY AND THINGS YOU WANT TO
2020 RNC,Day 4,"PRESERVE, OR IF YOU ARE A"
2020 RNC,Day 4,"DEMOCRAT, YOU SEE SOMETHING YOU"
2020 RNC,Day 4,WANT TO TEAR DOWN AND REMAKE IN
2020 RNC,Day 4,THE IMAGE OF SOME OTHER COUNTRY
2020 RNC,Day 4,NOT AS SUCCESSFUL AS WE ARE.
2020 RNC,Day 4,">> IT TOOK ME A GOOD, LONG TIME"
2020 RNC,Day 4,"TO GET HERE, BUT I HOPE THAT"
2020 RNC,Day 4,TRUMP WINS AND THAT WE CAN
2020 RNC,Day 4,CONTINUE WITH THE PROGRESS HE
2020 RNC,Day 4,HAS MADE AND THE POLICIES HE'S
2020 RNC,Day 4,"PUT INTO PLACE, GET OUR ECONOMY"
2020 RNC,Day 4,BACK ON TRACK AND MOVE IN THE
2020 RNC,Day 4,RIGHT DIRECTION.
2020 RNC,Day 4,_
2020 RNC,Day 4,>> GOOD EVENING.
2020 RNC,Day 4,MY NAME IS JEFF.
2020 RNC,Day 4,I SPEAK TO YOU AS A MEMBER OF
2020 RNC,Day 4,THE REPUBLICAN PARTY.
2020 RNC,Day 4,BUT IT WASN'T ALWAYS THAT WAY.
2020 RNC,Day 4,HOW I BECAME A REPUBLICAN SAYS A
2020 RNC,Day 4,LOT ABOUT TODAY'S DEMOCRATIC
2020 RNC,Day 4,PARTY.
2020 RNC,Day 4,"I'M FROM SOUTH JERSEY, WHERE WE"
2020 RNC,Day 4,"WORK HARD, LOOK AFTER OUR"
2020 RNC,Day 4,"NEIGHBORS, AND CARE ABOUT HER"
2020 RNC,Day 4,COMMUNITIES.
2020 RNC,Day 4,-- ABOUT OUR COMMUNITIES.
2020 RNC,Day 4,"USE AGO, I WAS ASKED BY THE"
2020 RNC,Day 4,DEMOCRATS TO RUN FOR A TOWN
2020 RNC,Day 4,COUNCIL SEAT.
2020 RNC,Day 4,I HAD MY DOUBTS.
2020 RNC,Day 4,EXPLAINED TO THEM MY VIEWS WERE
2020 RNC,Day 4,MIDDLE-OF-THE-ROAD TO
2020 RNC,Day 4,"CONSERVATIVE, BUT THE DEMOCRATIC"
2020 RNC,Day 4,"PARTY WAS A BIG TENT, AND THEY"
2020 RNC,Day 4,ACCEPTED PEOPLE LIKE ME.
2020 RNC,Day 4,I WAS ELECTED TO COUNSEL IS A
2020 RNC,Day 4,DEMOCRAT.
2020 RNC,Day 4,-- AS A DEMOCRAT.
2020 RNC,Day 4,"BUT AS I WON SEATS, STATE"
2020 RNC,Day 4,"LEGISLATURE, THEN CONGRESS, I"
2020 RNC,Day 4,NOTICED THINGS WERE CHANGING.
2020 RNC,Day 4,THE DEMOCRATIC PARTY HAS BECOME
2020 RNC,Day 4,LESS ACCEPTING OF AMERICAN
2020 RNC,Day 4,"TRADITION, LESS BELIEVING IN"
2020 RNC,Day 4,"AMERICAN EXCEPTIONALISM, LESS"
2020 RNC,Day 4,SUPPORTIVE OF TRADITIONAL FAITH
2020 RNC,Day 4,AND FAMILY.
2020 RNC,Day 4,THIS WAS NOT THE PARTY THAT I
2020 RNC,Day 4,KNEW.
2020 RNC,Day 4,"IN 2018, AFTER BEING ELECTED TO"
2020 RNC,Day 4,"CONGRESS AS A DEMOCRAT, I WAS"
2020 RNC,Day 4,ALREADY UNCOMFORTABLE WITH THE
2020 RNC,Day 4,SAN FRANCISCO LIBERAL RUNNING
2020 RNC,Day 4,THE HOUSE.
2020 RNC,Day 4,WHICH IS WHY MY FIRST VOTE IN
2020 RNC,Day 4,CONGRESS WAS CAST AGAINST NANCY
2020 RNC,Day 4,PELOSI FOR SPEAKER.
2020 RNC,Day 4,BUT IMAGINE HOW I FELT AFTER
2020 RNC,Day 4,SEEING MEMBERS OF THE SQUAD
2020 RNC,Day 4,QUICKLY TAKE CONTROL OF THE
2020 RNC,Day 4,DEMOCRATIC PARTY JUST WEEKS
2020 RNC,Day 4,AFTER BEING ELECTED.
2020 RNC,Day 4,THE PARTY HAD MOVED FROM LIBERAL
2020 RNC,Day 4,TO RADICAL.
2020 RNC,Day 4,THIS NEW DEMOCRATIC PARTY WASN'T
2020 RNC,Day 4,"JUST FOR HIGHER TAXES, THEY WERE"
2020 RNC,Day 4,"FOR OPEN BORDERS, AGAINST OUR"
2020 RNC,Day 4,"POLICE, AND AGAINST OUR"
2020 RNC,Day 4,GOD-GIVEN RIGHTS.
2020 RNC,Day 4,WHEN THE RADICAL DEMOCRATS WENT
2020 RNC,Day 4,AFTER PRESIDENT TRUMP WITH
2020 RNC,Day 4,"IMPEACHMENT, THEY MADE ANOTHER"
2020 RNC,Day 4,MISTAKE.
2020 RNC,Day 4,DEMOCRATIC LEADERS TOLD ME THAT
2020 RNC,Day 4,"I HAD TO VOTE FOR IMPEACHMENT,"
2020 RNC,Day 4,OR MY LIFE WOULD BE MADE
2020 RNC,Day 4,DIFFICULT.
2020 RNC,Day 4,AND I WOULDN'T BE ALLOWED TO RUN
2020 RNC,Day 4,AGAIN.
2020 RNC,Day 4,"I'M FROM SOUTH JERSEY, YOU"
2020 RNC,Day 4,BETTER COME AT ME WITH MORE THAN
2020 RNC,Day 4,JUST WORDS AND EMPTY THREATS.
2020 RNC,Day 4,I VOTED NO ON IMPEACHMENT.
2020 RNC,Day 4,IT WAS AN EASY CALL.
2020 RNC,Day 4,"SOON AFTER, I MET WITH PRESIDENT"
2020 RNC,Day 4,TRUMP.
2020 RNC,Day 4,HE MADE ME FEEL MORE COMFORTABLE
2020 RNC,Day 4,.
2020 RNC,Day 4,"A FEW DAYS LATER, I OFFICIALLY"
2020 RNC,Day 4,CHANGED PARTIES AND I BECAME A
2020 RNC,Day 4,REPUBLICAN.
2020 RNC,Day 4,LET ME TELL YOU ABOUT JOE BIDEN.
2020 RNC,Day 4,WHEN THE DEMOCRATS TRIED TO
2020 RNC,Day 4,"ORDER ME AROUND, I WAS READY,"
2020 RNC,Day 4,"WILLING, AND ABLE TO SAY, ""I"
2020 RNC,Day 4,HAVE HAD ENOUGH WITH THE
2020 RNC,Day 4,"RADICAL, SOCIALIST AGENDA."""
2020 RNC,Day 4,DO YOU REALLY BELIEVE JOE BIDEN
2020 RNC,Day 4,"IS READY, WILLING, AND ABLE TO"
2020 RNC,Day 4,DO THE SAME?
2020 RNC,Day 4,"AS JOE SAYS, COME ON, MAN."
2020 RNC,Day 4,JOE BIDEN IS BEING TOLD WHAT TO
2020 RNC,Day 4,DO BY THE RADICALS RUNNING MY
2020 RNC,Day 4,"FORMER PARTY, THE SAME MEDICALS"
2020 RNC,Day 4,TRYING TO -- RADICALS TRYING TO
2020 RNC,Day 4,INSTALL HIM AS THEIR LOCAL
2020 RNC,Day 4,PRESIDENT.
2020 RNC,Day 4,I TELL PEOPLE THAT AMERICA IS
2020 RNC,Day 4,"THE BEST NATION IN THE WORLD,"
2020 RNC,Day 4,AND THAT PRESIDENT TRUMP HAS
2020 RNC,Day 4,HELPED MAKE IT THAT WAY.
2020 RNC,Day 4,"REPUBLICANS, INDEPENDENCE, AND"
2020 RNC,Day 4,EVEN DEMOCRATS ALL KNOW THAT.
2020 RNC,Day 4,"IN PRESIDENT TRUMP'S AMERICA, WE"
2020 RNC,Day 4,"HAVE STRONG MILITARY, STRONG"
2020 RNC,Day 4,"SUPPORT FOR POLICE, STRONG"
2020 RNC,Day 4,SUPPORT FOR VETERANS AND STROKES
2020 RNC,Day 4,OF WORK FOR SENIORS.
2020 RNC,Day 4,"IN PRESIDENT TRUMP'S AMERICA, WE"
2020 RNC,Day 4,"HAVE A STRONG SUPPLY CHAIN, GOOD"
2020 RNC,Day 4,"SCHOOLS, WE ARE ENERGY"
2020 RNC,Day 4,"INDEPENDENT, AND WE PROTECT OUR"
2020 RNC,Day 4,ENVIRONMENT.
2020 RNC,Day 4,THERE ARE A LOT OF DEMOCRATS WHO
2020 RNC,Day 4,SUPPORT OUR PRESIDENT AND ARE
2020 RNC,Day 4,DISGUSTED FOR WHAT THEIR OLD
2020 RNC,Day 4,"PARTY, WHAT MILD PARTY HAS"
2020 RNC,Day 4,BECOME -- WHAT MY OLD PARTY HAS
2020 RNC,Day 4,BECOME.
2020 RNC,Day 4,HERE IS MY ADVICE.
2020 RNC,Day 4,BE TRUE TO WHO YOU ARE NOW.
2020 RNC,Day 4,NOT WHO THE DEMOCRATS USED TO
2020 RNC,Day 4,BE.
2020 RNC,Day 4,THAT IS WHY I'M A PROUD
2020 RNC,Day 4,REPUBLICAN AND WHY I WILL BE
2020 RNC,Day 4,VOTING FOR DONALD TRUMP.
2020 RNC,Day 4,"THANK YOU, AND MAY GOD BLESS"
2020 RNC,Day 4,"YOU, BLESS OUR PRESIDENT, AND"
2020 RNC,Day 4,THE UNITED STATES OF AMERICA.
2020 RNC,Day 4,_
2020 RNC,Day 4,">> FOR ME, THE MOST IMPORTANT"
2020 RNC,Day 4,ISSUE IS JOBS.
2020 RNC,Day 4,YOU NEED TO BE ABLE TO PAY OUR
2020 RNC,Day 4,BILL -- PAY A BILL.
2020 RNC,Day 4,I TRUST DONALD TRUMP WAY MORE
2020 RNC,Day 4,THAN I DO JOE BIDEN.
2020 RNC,Day 4,THERE IS NO DOUBT DONALD TRUMP
2020 RNC,Day 4,HAS BUILT THE STRONGEST ECONOMY
2020 RNC,Day 4,WE HAVE EVER SEEN.
2020 RNC,Day 4,I KNOW HE WILL DO IT AGAIN.
2020 RNC,Day 4,JOE BIDEN DOESN'T HAVE THE
2020 RNC,Day 4,ENERGY.
2020 RNC,Day 4,"HIS IDEAS, LIKE RAISING TAXES,"
2020 RNC,Day 4,WILL HURT US.
2020 RNC,Day 4,ELECTING JOE BIDEN AS THE
2020 RNC,Day 4,PRESIDENT IS A HUGE RISK.
2020 RNC,Day 4,I DON'T WANT THE FUTURE OF MY
2020 RNC,Day 4,SON IN THE HANDS OF JOE BIDEN.
2020 RNC,Day 4,I WANT MY SON TO BE ABLE TO GO
2020 RNC,Day 4,OUT AND GET A GOOD EDUCATION.
2020 RNC,Day 4,I WANT THE ECONOMY TO BE STRONG.
2020 RNC,Day 4,I WANT THE COUNTRY THAT HE LIVES
2020 RNC,Day 4,IN TO BE SAFE.
2020 RNC,Day 4,AND I WANT OUR BORDERS TO BE
2020 RNC,Day 4,SECURE.
2020 RNC,Day 4,I DON'T WANT THAT IN JOE BIDEN'S
2020 RNC,Day 4,HANDS.
2020 RNC,Day 4,DONALD TRUMP HAS BUILT A STRONG
2020 RNC,Day 4,US ECONOMY WE HAVE EVER SEEN.
2020 RNC,Day 4,"HE HAS MADE OUR COUNTRY SAFE,"
2020 RNC,Day 4,"AND AS A MOM, THOSE ARE THINGS"
2020 RNC,Day 4,THAT I AM VERY PROUD OF AND
2020 RNC,Day 4,THOSE ARE THINGS THAT ARE VERY
2020 RNC,Day 4,IMPORTANT TO ME WHEN I AM
2020 RNC,Day 4,LOOKING FOR A PRESIDENT.
2020 RNC,Day 4,I AM STICKING WITH DONALD TRUMP.
2020 RNC,Day 4,>> I'M A SINGLE MOTHER OF TWO
2020 RNC,Day 4,BOYS AND A WORK IN HOUSTON TEXAS
2020 RNC,Day 4,WITH ENGINEERS AND CONSTRUCTORS.
2020 RNC,Day 4,AFTER SERVING MY COUNTRY IN THE
2020 RNC,Day 4,"MARINE CORPS, I WORKED VARIOUS"
2020 RNC,Day 4,JOBS.
2020 RNC,Day 4,I THOUGHT I NEEDED A DEGREE IN
2020 RNC,Day 4,ORDER TO HAVE A CAREER.
2020 RNC,Day 4,I PUT MYSELF INTO SIGNIFICANT
2020 RNC,Day 4,DEBT TO EARNED MY BACHELORS
2020 RNC,Day 4,DEGREE IN FINANCE.
2020 RNC,Day 4,"AT ONE POINT, MY BOARD --"
2020 RNC,Day 4,WE FOUND OURSELVES HOMELESS.
2020 RNC,Day 4,I WAS A BIT SKEPTICAL AT
2020 RNC,Day 4,"FIRST, BUT I THOUGHT, I SHOULD"
2020 RNC,Day 4,BE WILLING TO TAKE A CHANCE ON
2020 RNC,Day 4,MYSELF.
2020 RNC,Day 4,"AT THE START OF THE PROGRAM, I"
2020 RNC,Day 4,WAS MAKING $16 AN HOUR WHILE I
2020 RNC,Day 4,TRAINED TO TO THE
2020 RNC,Day 4,POSITION.
2020 RNC,Day 4,"IT WAS NOT EASY, BUT WAS IT"
2020 RNC,Day 4,WORTH IT.
2020 RNC,Day 4,I WAS LEARNING NEW SKILLS AND
2020 RNC,Day 4,WAS ABLE TO SUPPORT MY FAMILY
2020 RNC,Day 4,AGAIN.
2020 RNC,Day 4,"I WORKED HARD, GOT PROMOTED AND"
2020 RNC,Day 4,EVEN GOT A FEW RAISES.
2020 RNC,Day 4,PRESIDENT TRUMP STARTED THE
2020 RNC,Day 4,NATIONAL COUNCIL FOR THE
2020 RNC,Day 4,AMERICAN WORKER AND THE AMERICAN
2020 RNC,Day 4,WORKFORCE POLICY ADVISORY BOARD.
2020 RNC,Day 4,HE WROTE POLICIES THAT MADE IT
2020 RNC,Day 4,EASY FOR STATES AND COMPANIES TO
2020 RNC,Day 4,GIVE OPPORTUNITIES TO
2020 RNC,Day 4,HARD-WORKING AMERICANS LIKE ME.
2020 RNC,Day 4,PRESIDENT AND IVANKA PARTNER TO
2020 RNC,Day 4,LAUNCH A WEBSITE HELPING TO
2020 RNC,Day 4,COMMEND WORKERS WITH -- COMMIT
2020 RNC,Day 4,WORKERS WITH TRAINING
2020 RNC,Day 4,APPRENTICESHIP PROGRAMS WHERE
2020 RNC,Day 4,THEY LIVE.
2020 RNC,Day 4,IF YOU FIND YOURSELF IN A
2020 RNC,Day 4,SITUATION LIKE MINE WHERE YOU
2020 RNC,Day 4,FEEL LIKE YOU HAVE NOWHERE TO
2020 RNC,Day 4,"TURN, NOTHING TO FALL BACK ON,"
2020 RNC,Day 4,YOU FEEL LIKE NO ONE BELIEVES IN
2020 RNC,Day 4,"YOU, GO ONLINE TO FIND"
2020 RNC,Day 4,SOMETHINGNEW.ORG.
2020 RNC,Day 4,"PRESIDENT TRUMP BELIEVES IN YOU,"
2020 RNC,Day 4,"AND MORE IMPORTANTLY, BELIEVE IN"
2020 RNC,Day 4,YOURSELF.
2020 RNC,Day 4,"REMEMBER, JUST A FEW YEARS AGO,"
2020 RNC,Day 4,I WAS HOMELESS.
2020 RNC,Day 4,"NOW, I HAVE A BRAND-NEW HOME AT"
2020 RNC,Day 4,THE END OF THE MONTH.
2020 RNC,Day 4,"MY MESSAGE TO YOU IS, KEEP"
2020 RNC,Day 4,PUSHING.
2020 RNC,Day 4,YOU CAN DO IT.
2020 RNC,Day 4,FIND A TRAINING PROGRAM LIKE THE
2020 RNC,Day 4,ONE I PARTICIPATED IN.
2020 RNC,Day 4,"LIKE ME, YOU HAVE AN OPPORTUNITY"
2020 RNC,Day 4,TO BUILD A CAREER YOU ARE PROUD
2020 RNC,Day 4,OF.
2020 RNC,Day 4,I WOULD LIKE TO TALK TO YOU
2020 RNC,Day 4,ABOUT A DIFFERENT KIND OF
2020 RNC,Day 4,CHANGE.
2020 RNC,Day 4,THIS IS THE TRUMP CAMPAIGN'S
2020 RNC,Day 4,NATIONAL WEEK OF VOLUNTEER
2020 RNC,Day 4,TRAINING.
2020 RNC,Day 4,YOU KNOW HOW IMPORTANT IT IS TO
2020 RNC,Day 4,PUT AMERICANS BACK TO WORK.
2020 RNC,Day 4,GO ONLINE TO TRUMPVICTORY.COM
2020 RNC,Day 4,AND KEEP THE PRESIDENT FIGHTING
2020 RNC,Day 4,FOR YOU FOR ANOTHER FOUR YEARS.
2020 RNC,Day 4,THANK YOU AND GOD BLESS.
2020 RNC,Day 4,_
2020 RNC,Day 4,">> WHEN I WAS 16 YEARS OLD, I"
2020 RNC,Day 4,GOT A PART-TIME JOB AT A GOLF
2020 RNC,Day 4,COURSE JUST OUTSIDE OF NEW YORK
2020 RNC,Day 4,CITY.
2020 RNC,Day 4,"ONE DAY, I WAS CLEANING GOLF"
2020 RNC,Day 4,"CLUBS, WHEN A MAN PULLED INTO"
2020 RNC,Day 4,THE PARKING LOT.
2020 RNC,Day 4,THERE WAS NOT A SINGLE PERSON
2020 RNC,Day 4,WHO DID NOT KNOW WHO IT WAS.
2020 RNC,Day 4,EVERYONE'S JAWS WERE ON THE
2020 RNC,Day 4,GROUND.
2020 RNC,Day 4,IT WAS DONALD TRUMP.
2020 RNC,Day 4,"ALL I COULD THINK WAS, NOBODY"
2020 RNC,Day 4,WILL BELIEVE THIS AT SCHOOL
2020 RNC,Day 4,TOMORROW.
2020 RNC,Day 4,I HAVE NOW BEEN AT PRESIDENT
2020 RNC,Day 4,TRUMP'S SITE FROM A 30 YEARS.
2020 RNC,Day 4,"ALL THESE YEARS LATER, THERE'S A"
2020 RNC,Day 4,PART OF ME THAT STILL FEELS A
2020 RNC,Day 4,SENSE OF WONDER EVERY DAY WHEN I
2020 RNC,Day 4,CONSIDER THE JOURNEY WE HAVE
2020 RNC,Day 4,TAKEN TOGETHER.
2020 RNC,Day 4,AND TAKEN WITH SO MANY OF YOU
2020 RNC,Day 4,WATCHING TONIGHT.
2020 RNC,Day 4,MY PERSONAL STORY WITH DONALD
2020 RNC,Day 4,"TRUMP IN SO MANY WAYS IS YOURS,"
2020 RNC,Day 4,TOO.
2020 RNC,Day 4,"HE SAW POTENTIAL IN ME, A SPARK."
2020 RNC,Day 4,THE POSSIBILITY THAT I COULD BE
2020 RNC,Day 4,"MORE, DO MORE, AND ACHIEVE MORE"
