no_overall,no_inseason,no_season,viewers,air_date,pitch_title,pitch_description,deal,sharks,category_1,category_2,business_category_1,business_category_2,business_category_3,category_3
67,3,5,6.4,10/4/13, Kookn' Kap,"a breathable, non-flammable cooking cap to keep aromas out of your hair ",NO,"Mark, Barbara, Kevin, Lori, Robert",Home,Health,Hospitality,Consumer_Goods_and_Services,Marketing_and_Advertising,Recreation
67,3,5,6.4,10/4/13, Rapid Ramen Cooker,a specially designed bowl for cooking ramen noodles ,YES,"Mark, Barbara, Kevin, Lori, Robert",Home,Recreation,Hospitality,Arts_and_Entertainment,Food_and_Related_Products,Games
68,4,5,6.5,10/11/13,Sunday Night Slow Jams,a love songs radio show ,NO,"Mark, Daymond, Kevin, Lori, Robert",Arts,Recreation,Arts_and_Entertainment,Telecommunications,Marketing_and_Advertising,Home
68,4,5,6.5,10/11/13, Hamboards,skateboards that ride like a surfboard ,YES,"Mark, Daymond, Kevin, Lori, Robert",Sports,Computers,Consumer_Goods_and_Services,Arts_and_Entertainment,Investing,Arts
68,4,5,6.5,10/11/13, Scan,a QR code application ,NO,"Mark, Daymond, Kevin, Lori, Robert",Computers,Business,Information_Technology,Telecommunications,Biotechnology_and_Pharmaceuticals,Science
68,4,5,6.5,10/11/13, ScreenMend,window screen repair patches ,YES,"Mark, Daymond, Kevin, Lori, Robert",Computers,Home,Consumer_Goods_and_Services,Construction_and_Maintenance,Opportunities,Business
69,5,5,6.6,10/18/13,RuffleButts and RuggedButts,a children's clothing line ,YES,"Mark, Barbara, Kevin, Lori, Robert",Health,Arts,Consumer_Goods_and_Services,Textiles_and_Nonwovens,Cooperatives,Home
69,5,5,6.6,10/18/13, Bare Ease,hair removal numbing cream and underwear ,NO,"Mark, Barbara, Kevin, Lori, Robert",Home,Health,Consumer_Goods_and_Services,Food_and_Related_Products,Hospitality,Arts
69,5,5,6.6,10/18/13, Rent A Goat,a goat renting service for an environmentally friendly way to take care of your lawn ,NO,"Mark, Barbara, Kevin, Lori, Robert",Home,Business,Agriculture_and_Forestry,Transportation_and_Logistics,Construction_and_Maintenance,Recreation
69,5,5,6.6,10/18/13, Veggie Mama Garden Pops,"popsicles containing fruits and vegetables, sweetened with agave nectar ",YES,"Mark, Barbara, Kevin, Lori, Robert",Home,Recreation,Food_and_Related_Products,Agriculture_and_Forestry,Arts_and_Entertainment,Science
70,6,5,7.3,10/25/13,FiberFix,super strong duct tape ,YES,"Mark, Daymond, Kevin, Lori, Robert",Health,Home,Industrial_Goods_and_Services,Construction_and_Maintenance,Marketing_and_Advertising,Sports
70,6,5,7.3,10/25/13, Elephant Chat,a literal elephant in the room to aid communication between spouses ,NO,"Mark, Daymond, Kevin, Lori, Robert",Society,Health,Telecommunications,Information_Technology,Healthcare,Home
70,6,5,7.3,10/25/13, Ten Thirty One Productions,an entertainment company specializing in horror attractions ,YES,"Mark, Daymond, Kevin, Lori, Robert",Arts,Business,Arts_and_Entertainment,Business_Services,Information_Technology,Games
70,6,5,7.3,10/25/13, Total Merchant Resources,a company that provides small business loans ,YES,"Mark, Daymond, Kevin, Lori, Robert",Business,Home,Opportunities,Investing,Cooperatives,Computers
71,7,5,7.3,11/1/13,Better Life,100% natural cleaning products ,YES,"Mark, Daymond, Kevin, Lori, John Paul DeJoria",Business,Home,Food_and_Related_Products,Textiles_and_Nonwovens,Construction_and_Maintenance,Science
71,7,5,7.3,11/1/13, 180Cup,a beer cup that doubles as a shot glass ,YES,"Mark, Daymond, Kevin, Lori, John Paul DeJoria",Sports,Recreation,Food_and_Related_Products,Materials,Agriculture_and_Forestry,Games
71,7,5,7.3,11/1/13, Kymera Body Board,electric powered body boards ,NO,"Mark, Daymond, Kevin, Lori, John Paul DeJoria",Business,Recreation,Consumer_Goods_and_Services,Energy,Electronics_and_Electrical,Health
71,7,5,7.3,11/1/13, Tree-T-Pee,a device for watering trees more efficiently ,YES,"Mark, Daymond, Kevin, Lori, John Paul DeJoria",Home,Computers,Agriculture_and_Forestry,Healthcare,Information_Technology,Science
72,8,5,7.3,11/8/13,Schulzies Bread Pudding,bread pudding desserts ,NO,"Mark, Barbara, Kevin, Lori, Robert",Home,Recreation,Food_and_Related_Products,Hospitality,Publishing_and_Printing,Health
72,8,5,7.3,11/8/13, Paparazzi Proposals,a paparazzi-style photography business that captures your proposal without being seen ,YES,"Mark, Barbara, Kevin, Lori, Robert",Arts,Business,Arts_and_Entertainment,Marketing_and_Advertising,Retail_Trade,Computers
72,8,5,7.3,11/8/13, BellyBuds,speakers for playing music to the womb of expectant mothers ,NO,"Mark, Barbara, Kevin, Lori, Robert",Health,Home,Arts_and_Entertainment,Retail_Trade,Business_Services,Arts
72,8,5,7.3,11/8/13, PetPaint,colored hairspray for dogs ,NO,"Mark, Barbara, Kevin, Lori, Robert",Recreation,Arts,Consumer_Goods_and_Services,Agriculture_and_Forestry,Publishing_and_Printing,Society
73,9,5,6.4,11/15/13,DoorBot,a doorbell with a camera and speaker that connects to your smartphone ,NO,"Mark, Daymond, Kevin, Lori, Robert",Computers,Arts,Telecommunications,Business_Services,Arts_and_Entertainment,Recreation
73,9,5,6.4,11/15/13, Slawsa,a cross between a coleslaw and a salsa ,NO,"Mark, Daymond, Kevin, Lori, Robert",Home,Recreation,Hospitality,Food_and_Related_Products,Consumer_Goods_and_Services,Society
73,9,5,6.4,11/15/13, Magic Moments,an app that allows you to put your photos on products that you can sell ,NO,"Mark, Daymond, Kevin, Lori, Robert",Computers,Business,Information_Technology,Telecommunications,Marketing_and_Advertising,Home
73,9,5,6.4,11/15/13, Surprise Ride,a monthly box of themed educational activities for children ,NO,"Mark, Daymond, Kevin, Lori, Robert",Health,Home,Arts_and_Entertainment,Hospitality,Agriculture_and_Forestry,Business
74,10,5,7,11/22/13,Yubo,personalized lunchboxes that are easy to clean ,YES,"Mark, Barbara, Kevin, Lori, Robert",Recreation,Home,Investing,Marketing_and_Advertising,Healthcare,Computers
74,10,5,7,11/22/13, PurseCase,a mini purse cell phone case that carries your smartphone and a few essentials ,YES,"Mark, Barbara, Kevin, Lori, Robert",Computers,Health,Telecommunications,Retail_Trade,Marketing_and_Advertising,Home
74,10,5,7,11/22/13, Chocomize,customizable chocolate bars ,NO,"Mark, Barbara, Kevin, Lori, Robert",Home,Computers,Food_and_Related_Products,Hospitality,Information_Technology,Recreation
74,10,5,7,11/22/13, Grace and Lace,knitted boot socks ,YES,"Mark, Barbara, Kevin, Lori, Robert",Arts,Business,Textiles_and_Nonwovens,Consumer_Goods_and_Services,Information_Technology,Sports
75,11,5,7.5,12/6/13,SpiritHoods, furry hoods that resemble animals ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Science,Recreation,Construction_and_Maintenance,Consumer_Goods_and_Services,Healthcare,Society
75,11,5,7.5,12/6/13, Virtuix Omni,a virtual reality platform that allows free movement ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Computers,Society,Information_Technology,Investing,Business_Services,Games
75,11,5,7.5,12/6/13, FoHawx,a line of accessories that attach to bike helmets ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Sports,Recreation,Consumer_Goods_and_Services,Automotive,Cooperatives,Computers
75,11,5,7.5,12/6/13, De-Boned Baby Back Rib Steak,ribs with the bones removed so they can be eaten with a knife and a fork ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Home,Hospitality,Agriculture_and_Forestry,Consumer_Goods_and_Services,Health
76,12,5,7.1,12/13/13,Lite-Netics,magnetic Christmas lights ,NO,"Mark, Daymond, Kevin, Lori, Robert",Science,Home,Consumer_Goods_and_Services,Agriculture_and_Forestry,Industrial_Goods_and_Services,Recreation
76,12,5,7.1,12/13/13, One Life Products,a Hanukkah tree topper for interfaith families ,YES,"Mark, Daymond, Kevin, Lori, Robert",Society,Home,Investing,Agriculture_and_Forestry,Textiles_and_Nonwovens,Health
76,12,5,7.1,12/13/13, Cashmere Hair,a luxury hair extension company ,NO,"Mark, Daymond, Kevin, Lori, Robert",Business,Computers,Consumer_Goods_and_Services,Real_Estate,Agriculture_and_Forestry,Home
76,12,5,7.1,12/13/13, Tipsy Elves,a line of holiday clothing ,YES,"Mark, Daymond, Kevin, Lori, Robert",Recreation,Home,Consumer_Goods_and_Services,Retail_Trade,Textiles_and_Nonwovens,Arts
77,13,5,7.3,1/10/14,Bounce Boot Camp,a company that uses inflatable bounce houses as fitness equipment for children ,NO,"Mark, Daymond, Kevin, Lori, Robert",Business,Health,Consumer_Goods_and_Services,Arts_and_Entertainment,Opportunities,Recreation
77,13,5,7.3,1/10/14, The Wall DoctoRX,an easy way to patch holes in walls ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Computers,Agriculture_and_Forestry,Consumer_Goods_and_Services,Marketing_and_Advertising,Recreation
77,13,5,7.3,1/10/14, EyeBloc,a plastic cover for laptop webcams ,NO,"Mark, Daymond, Kevin, Lori, Robert",Computers,Home,Retail_Trade,Agriculture_and_Forestry,Construction_and_Maintenance,Business
77,13,5,7.3,1/10/14, GrooveBook,a service that creates photobooks from your smartphone photos ,YES,"Mark, Daymond, Kevin, Lori, Robert",Computers,Business,Publishing_and_Printing,Telecommunications,Retail_Trade,Home
78,14,5,7.4,1/17/14,Alaska Glacial Mud Co.,a facial mask made from Alaskan glacial mud ,NO,"Mark, Barbara, Kevin, Lori, Robert",Recreation,Arts,Healthcare,Energy,Automotive,Science
78,14,5,7.4,1/17/14, InvisiPlug,powerstrips designed to blend in with hardwood floors ,YES,"Mark, Barbara, Kevin, Lori, Robert",Home,Business,Construction_and_Maintenance,Agriculture_and_Forestry,Food_and_Related_Products,Recreation
78,14,5,7.4,1/17/14, LockerBones,customizable shelving for school lockers ,YES,"Mark, Barbara, Kevin, Lori, Robert",Business,Computers,Industrial_Goods_and_Services,Hospitality,Information_Technology,Home
78,14,5,7.4,1/17/14, Balloon Distractions,a business that provides balloon artists to restaurants to entertain customers while they wait for their food ,NO,"Mark, Barbara, Kevin, Lori, Robert",Business,Arts,Hospitality,Marketing_and_Advertising,Arts_and_Entertainment,Recreation
79,15,5,8.1,1/24/14,SwimZip,children's swimwear with UV sun protection ,YES,"Mark, Daymond, Kevin, Lori, Robert",Health,Society,Consumer_Goods_and_Services,Arts_and_Entertainment,Publishing_and_Printing,Home
79,15,5,8.1,1/24/14, FitDeck,custom playing cards for exercising ,NO,"Mark, Daymond, Kevin, Lori, Robert",Games,Health,Real_Estate,Consumer_Goods_and_Services,Biotechnology_and_Pharmaceuticals,Computers
79,15,5,8.1,1/24/14, LifeCaps,emergency nourishment pills ,NO,"Mark, Daymond, Kevin, Lori, Robert",Health,Home,Business_Services,Healthcare,Environment,Society
79,15,5,8.1,1/24/14, Freshly Picked,moccasins for babies ,YES,"Mark, Daymond, Kevin, Lori, Robert",Arts,Society,Arts_and_Entertainment,Construction_and_Maintenance,Mining_and_Drilling,Health
80,16,5,7.4,1/31/14,Cow Wow Cereal Milk,flavored milk that tastes like what's left at the bottom of a bowl of cereal ,NO,"Mark, Daymond, Kevin, Lori, Steve Tisch",Home,Recreation,Food_and_Related_Products,Agriculture_and_Forestry,Hospitality,Sports
80,16,5,7.4,1/31/14, The Cookie Dough Cafe,cookie dough in a jar that is designed to be eaten raw ,YES,"Mark, Daymond, Kevin, Lori, Steve Tisch",Home,Health,Food_and_Related_Products,Arts_and_Entertainment,Investing,Recreation
80,16,5,7.4,1/31/14, Nexersys,a fitness and gaming platform ,NO,"Mark, Daymond, Kevin, Lori, Steve Tisch",Games,Computers,Consumer_Goods_and_Services,Arts_and_Entertainment,Telecommunications,Health
80,16,5,7.4,1/31/14, Cycloramic,an app that takes 360-degree pictures by making the phone spin itself around ,YES,"Mark, Daymond, Kevin, Lori, Steve Tisch",Games,Computers,Telecommunications,Information_Technology,Arts_and_Entertainment,Home
81,17,5,6.2,2/21/14,Moberi,a bicycle-powered juice and smoothie cart ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Business,Hospitality,Food_and_Related_Products,Opportunities,Health
81,17,5,6.2,2/21/14, Spy Escape and Evasion,a spy school via seminar classes that teach defense tactics ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Society,Games,Business_Services,Investing,Publishing_and_Printing,Computers
81,17,5,6.2,2/21/14, DDP Yoga,a fitness program based on yoga developed by former pro wrestler Diamond Dallas Page ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Sports,Society,Consumer_Goods_and_Services,Healthcare,Marketing_and_Advertising,Health
81,17,5,6.2,2/21/14, Southern Culture Artisan Foods,specialty pancake and waffle mixes ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Home,Recreation,Hospitality,Food_and_Related_Products,Opportunities,Business
82,18,5,7.7,2/28/14,Cheek'd,a unique dating service ,NO,"Mark, Barbara, Kevin, Lori, Robert",Recreation,Business,Marketing_and_Advertising,Healthcare,Information_Technology,Computers
82,18,5,7.7,2/28/14, ZipIt,a fitted sheet and sleeping bag combo for making beds quickly and easily ,NO,"Mark, Barbara, Kevin, Lori, Robert",Home,Recreation,Investing,Cooperatives,Arts_and_Entertainment,Health
82,18,5,7.7,2/28/14, Bambooee,bamboo paper towels that are washable and reusable ,YES,"Mark, Barbara, Kevin, Lori, Robert",Home,Business,Textiles_and_Nonwovens,Materials,Construction_and_Maintenance,Computers
82,18,5,7.7,2/28/14, Buzzy4Shots,a device that uses vibration to numb skin in preparation for medical shots ,NO,"Mark, Barbara, Kevin, Lori, Robert",Health,Computers,Healthcare,Environment,Textiles_and_Nonwovens,Science
83,19,5,7.6,3/7/14,RevoLights,an innovative lighting system for bicycles ,YES,"Mark, Daymond, Kevin, Lori, Robert",Sports,Business,Consumer_Goods_and_Services,Construction_and_Maintenance,Transportation_and_Logistics,Computers
83,19,5,7.6,3/7/14, Squeeky Knees,clothing for crawling babies with built-in squeakers in the knees ,NO,"Mark, Daymond, Kevin, Lori, Robert",Computers,Home,Information_Technology,Arts_and_Entertainment,Consumer_Goods_and_Services,Health
83,19,5,7.6,3/7/14, The Buffer Bit,a shoe buffing pad that attaches to a power drill ,NO,"Mark, Daymond, Kevin, Lori, Robert",Business,Computers,Aerospace_and_Defense,Textiles_and_Nonwovens,Consumer_Goods_and_Services,Arts
83,19,5,7.6,3/7/14, U-Lace,interchangeable mix and match shoelaces for easily changing the look and style of sneakers ,YES,"Mark, Daymond, Kevin, Lori, Robert",Arts,Sports,Information_Technology,Arts_and_Entertainment,Marketing_and_Advertising,Games
84,20,5,7.4,3/14/14,Define Bottle,a water bottle specially designed for infusing fresh fruit flavor ,NO,"Mark, Barbara, Kevin, Lori, Robert",Home,Recreation,Food_and_Related_Products,Agriculture_and_Forestry,Hospitality,Arts
84,20,5,7.4,3/14/14, iReTron,an electronics recycling service ,YES,"Mark, Barbara, Kevin, Lori, Robert",Business,Science,Environment,Electronics_and_Electrical,Telecommunications,Computers
84,20,5,7.4,3/14/14, Boo Boo Goo,"a colored, waterproof liquid bandage ",YES,"Mark, Barbara, Kevin, Lori, Robert",Home,Science,Textiles_and_Nonwovens,Construction_and_Maintenance,Food_and_Related_Products,Health
84,20,5,7.4,3/14/14, Henry's Humdingers,spicy flavored honeys ,YES,"Mark, Barbara, Kevin, Lori, Robert",Home,Recreation,Arts_and_Entertainment,Mining_and_Drilling,Cooperatives,Health
85,21,5,8.2,3/21/14,Chapul,energy bars made with cricket proteins ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Sports,Science,Food_and_Related_Products,Energy,Biotechnology_and_Pharmaceuticals,Business
85,21,5,8.2,3/21/14, Garage Door Lock,a locking system for garage doors ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Computers,Construction_and_Maintenance,Retail_Trade,Business_Services,Business
85,21,5,8.2,3/21/14, MorningHead,a cap for curing bed head hair ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Health,Consumer_Goods_and_Services,Hospitality,Publishing_and_Printing,Arts
85,21,5,8.2,3/21/14, Packback Books,a digital textbook rental service ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Business,Computers,Business_Services,Transportation_and_Logistics,Automotive,Science
86,22,5,7.4,4/4/14,Kodiak Cakes,a whole grain flapjack and waffle mix ,NO,"Mark, Barbara, Kevin, Lori, Robert",Society,Home,Hospitality,Food_and_Related_Products,Construction_and_Maintenance,Recreation
86,22,5,7.4,4/4/14, Monkey Mat,a portable fabric floor covering ,YES,"Mark, Barbara, Kevin, Lori, Robert",Business,Arts,Textiles_and_Nonwovens,Construction_and_Maintenance,Retail_Trade,Home
86,22,5,7.4,4/4/14, Plated,a service that delivers pre-measured ingredients for various recipes to your door ,YES,"Mark, Barbara, Kevin, Lori, Robert",Home,Business,Food_and_Related_Products,Hospitality,Information_Technology,Computers
86,22,5,7.4,4/4/14, The Paint Brush Cover,a device that prevents paintbrushes from drying out ,YES,"Mark, Barbara, Kevin, Lori, Robert",Arts,Computers,Food_and_Related_Products,Telecommunications,Textiles_and_Nonwovens,Home
87,23,5,6.8,4/10/14,Velocity Signs,robotic sign waving machines ,YES,"Mark, Barbara, Kevin, Lori, Robert",Computers,Science,Business_Services,Industrial_Goods_and_Services,Textiles_and_Nonwovens,Games
87,23,5,6.8,4/10/14, Lord Nut Levington,gourmet peanuts ,NO,"Mark, Barbara, Kevin, Lori, Robert",Home,Health,Food_and_Related_Products,Hospitality,Opportunities,Recreation
87,23,5,6.8,4/10/14, Happy Feet,fanciful slippers ,YES,"Mark, Barbara, Kevin, Lori, Robert",Arts,Recreation,Textiles_and_Nonwovens,Cooperatives,Mining_and_Drilling,Society
87,23,5,6.8,4/10/14, Hold Your Haunches,leggings with a built-in shaper ,YES,"Mark, Barbara, Kevin, Lori, Robert",Computers,Arts,Information_Technology,Cooperatives,Retail_Trade,Health
88,24,5,6.9,4/11/14,Taylor Robinson Music,an online platform for finding music instructors ,NO,"Mark, Daymond, Kevin, Lori, Robert",Computers,Arts,Arts_and_Entertainment,Publishing_and_Printing,Telecommunications,Business
88,24,5,6.9,4/11/14, PowerPot,a cooking pot that generates electricity as you heat up water ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Science,Energy,Hospitality,Industrial_Goods_and_Services,Recreation
88,24,5,6.9,4/11/14, Fun Time Express,a trackless train ride for malls ,YES,"Mark, Daymond, Kevin, Lori, Robert",Business,Arts,Arts_and_Entertainment,Retail_Trade,Transportation_and_Logistics,Recreation
88,24,5,6.9,4/11/14, Quickstop Fire Sprinkler Tools,a simple tool to immediately stop water from a fire sprinkler ,NO,"Mark, Daymond, Kevin, Lori, Robert",Home,Health,Industrial_Goods_and_Services,Business_Services,Construction_and_Maintenance,Science
89,25,5,6.7,4/18/14,iLumi,a versatile home lighting system controlled from a smartphone ,YES,"Mark, Barbara, Kevin, Lori, Robert",Computers,Business,Telecommunications,Construction_and_Maintenance,Arts_and_Entertainment,Home
89,25,5,6.7,4/18/14, ZooBean,a subscription service for children's books ,YES,"Mark, Barbara, Kevin, Lori, Robert",Health,Business,Publishing_and_Printing,Retail_Trade,Marketing_and_Advertising,Arts
89,25,5,6.7,4/18/14, Intelli-Stopper Technology,a wine bottle stopper with an indicator that shows if there is air inside ,NO,"Mark, Barbara, Kevin, Lori, Robert",Recreation,Games,Construction_and_Maintenance,Investing,Food_and_Related_Products,Home
89,25,5,6.7,4/18/14, Fort Magic,a building and construction toy ,NO,"Mark, Barbara, Kevin, Lori, Robert",Recreation,Business,Construction_and_Maintenance,Consumer_Goods_and_Services,Business_Services,Arts
90,26,5,7.1,4/25/14,Crio,a brewed drink made from cocoa beans ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Recreation,Food_and_Related_Products,Agriculture_and_Forestry,Environment,Health
90,26,5,7.1,4/25/14, Rugged Maniac,an obstacle race event ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Sports,Games,Arts_and_Entertainment,Investing,Agriculture_and_Forestry,Recreation
90,26,5,7.1,4/25/14, Cerebral Success,"a brain supplement designed to enhance focus, memory, and mental energy ",YES,"Mark, Daymond, Kevin, Barbara, Robert",Health,Business,Healthcare,Energy,Food_and_Related_Products,Science
90,26,5,7.1,4/25/14, Mo's Bows,handmade bowties ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Arts,Recreation,Materials,Food_and_Related_Products,Textiles_and_Nonwovens,Sports
91,27,5,8.3,5/2/14,The Bouqs Company,simplified floral bouquets ,NO,"Mark, Barbara, Kevin, Lori, Robert",Home,Recreation,Agriculture_and_Forestry,Consumer_Goods_and_Services,Investing,Arts
91,27,5,8.3,5/2/14, Angellift,facial lifting strips ,YES,"Mark, Barbara, Kevin, Lori, Robert",Health,Arts,Industrial_Goods_and_Services,Agriculture_and_Forestry,Retail_Trade,Home
91,27,5,8.3,5/2/14, HangEase,a folding plastic clothes hanger ,YES,"Mark, Barbara, Kevin, Lori, Robert",Health,Home,Consumer_Goods_and_Services,Retail_Trade,Publishing_and_Printing,Recreation
91,27,5,8.3,5/2/14, Susty Party,eco-friendly party supplies ,NO,"Mark, Barbara, Kevin, Lori, Robert",Business,Home,Textiles_and_Nonwovens,Publishing_and_Printing,Retail_Trade,Society
92,28,5,7.4,5/9/14,Oru Kayak,a kayak that can be folded into a compact suitcase ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Sports,Recreation,Consumer_Goods_and_Services,Construction_and_Maintenance,Publishing_and_Printing,Games
92,28,5,7.4,5/9/14, Bon Affair,a premium wine spritzer ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Home,Health,Food_and_Related_Products,Hospitality,International_Business_and_Trade,Recreation
92,28,5,7.4,5/9/14, Hargitt Marine Services,a treasure hunter who wants funding to salvage cargo from a sunken ship ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Science,Recreation,Transportation_and_Logistics,Aerospace_and_Defense,Agriculture_and_Forestry,Games
92,28,5,7.4,5/9/14, Cinnaholic,custom gourmet cinnamon rolls ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Home,Recreation,Food_and_Related_Products,Hospitality,Materials,Health
93,29,5,6.7,5/16/14,Baker's Edge,innovative baking pans and accessories ,NO,"Mark, Barbara, Kevin, Lori, Robert",Home,Business,Materials,Food_and_Related_Products,Consumer_Goods_and_Services,Recreation
93,29,5,6.7,5/16/14, Foot Fairy,an iPad app which measures your child's foot size ,YES,"Mark, Barbara, Kevin, Lori, Robert",Science,Computers,Arts_and_Entertainment,Telecommunications,Information_Technology,Health
93,29,5,6.7,5/16/14, Tie-Not,a water balloon filling and tying device ,NO,"Mark, Barbara, Kevin, Lori, Robert",Recreation,Home,Aerospace_and_Defense,Information_Technology,Consumer_Goods_and_Services,Computers
93,29,5,6.7,5/16/14, BZbox,collapsible storage boxes ,YES,"Mark, Barbara, Kevin, Lori, Robert",Computers,Business,Food_and_Related_Products,Information_Technology,Industrial_Goods_and_Services,Recreation
94,1,6,7.4,9/26/14,Sleeping Baby,sleepwear for newborns that imitates the protection of the womb so they don't wake as easily ,YES,"Mark, Daymond, Kevin, Lori, Robert",Health,Society,Telecommunications,Information_Technology,Investing,Arts
94,1,6,7.4,9/26/14, Hammer & Nails,a masculine nail salon ,NO,"Mark, Daymond, Kevin, Lori, Robert",Arts,Society,Arts_and_Entertainment,Consumer_Goods_and_Services,Opportunities,Health
94,1,6,7.4,9/26/14, Amber,a cellphone charging station ,NO,"Mark, Daymond, Kevin, Lori, Robert",Computers,Science,Telecommunications,Electronics_and_Electrical,Energy,Recreation
94,1,6,7.4,9/26/14, Bombas,quality athletic socks ,YES,"Mark, Daymond, Kevin, Lori, Robert",Sports,Business,Consumer_Goods_and_Services,Agriculture_and_Forestry,Textiles_and_Nonwovens,Health
95,2,6,7.4,9/26/14,Roominate,a construction set toy ,YES,"Mark, Barbara, Kevin, Lori, Robert",Recreation,Computers,Consumer_Goods_and_Services,Construction_and_Maintenance,Business_Services,Business
95,2,6,7.4,9/26/14, The Floating Mug Co.,mugs and glasses with built-in coasters ,NO,"Mark, Barbara, Kevin, Lori, Robert",Recreation,Computers,Information_Technology,Consumer_Goods_and_Services,Arts_and_Entertainment,Arts
95,2,6,7.4,9/26/14, Wedding Wagon,a van used as a mobile wedding chapel ,NO,"Mark, Barbara, Kevin, Lori, Robert",Society,Computers,Arts_and_Entertainment,Telecommunications,Publishing_and_Printing,Arts
95,2,6,7.4,9/26/14, Kronos,premium golf putters ,YES,"Mark, Barbara, Kevin, Lori, Robert",Sports,Home,Consumer_Goods_and_Services,Marketing_and_Advertising,Construction_and_Maintenance,Arts
96,3,6,7.2,10/3/14,SoapSox,plush toys that work as bath sponges ,NO,"Mark, Daymond, Kevin, Lori, Robert",Science,Business,Materials,Consumer_Goods_and_Services,Construction_and_Maintenance,Home
96,3,6,7.2,10/3/14, Heart Pup,a wearable sling for carrying a dog ,YES,"Mark, Daymond, Kevin, Lori, Robert",Recreation,Arts,Textiles_and_Nonwovens,Industrial_Goods_and_Services,Telecommunications,Health
96,3,6,7.2,10/3/14, Ninja Cards,a game similar to darts that uses special throwing cards ,NO,"Mark, Daymond, Kevin, Lori, Robert",Sports,Games,Telecommunications,Marketing_and_Advertising,Retail_Trade,Home
96,3,6,7.2,10/3/14, DrumPants,touch sensors you wear on your body that play music ,NO,"Mark, Daymond, Kevin, Lori, Robert",Computers,Games,Arts_and_Entertainment,Healthcare,Consumer_Goods_and_Services,Arts
97,4,6,7.3,10/10/14,FunCakes Rental,fake wedding cakes ,NO,"Mark, Barbara, Kevin, Lori, Robert",Home,Society,Arts_and_Entertainment,Food_and_Related_Products,Marketing_and_Advertising,Recreation
97,4,6,7.3,10/10/14, Paper Box Pilots,decorative stickers to make cardboard boxes look like vehicles ,YES,"Mark, Barbara, Kevin, Lori, Robert",Arts,Home,Publishing_and_Printing,Consumer_Goods_and_Services,Business_Services,Recreation
97,4,6,7.3,10/10/14, Table Jacks,a way to fix wobbly tables ,NO,"Mark, Barbara, Kevin, Lori, Robert",Computers,Health,Consumer_Goods_and_Services,Investing,Information_Technology,Recreation
97,4,6,7.3,10/10/14, Reviver,freshening wipes for masking odors on clothing ,YES,"Mark, Barbara, Kevin, Lori, Robert",Sports,Business,Healthcare,Environment,Textiles_and_Nonwovens,Home
98,5,6,7.3,10/17/14,Jungle JumpaRoo,a play structure for kids ,NO,"Mark, Daymond, Kevin, Lori, Robert",Games,Science,Arts_and_Entertainment,Construction_and_Maintenance,Investing,Health
98,5,6,7.3,10/17/14, The Caddy Girls,a company that provides all-female golf caddys ,NO,"Mark, Daymond, Kevin, Lori, Robert",Sports,Science,Consumer_Goods_and_Services,Construction_and_Maintenance,Marketing_and_Advertising,Business
98,5,6,7.3,10/17/14, The Red Dress Boutique,"an online mail-order service for afforable, fashionable outfits ",YES,"Mark, Daymond, Kevin, Lori, Robert",Arts,Home,Business_Services,Arts_and_Entertainment,Textiles_and_Nonwovens,Games
98,5,6,7.3,10/17/14, SunStaches,novelty sunglasses with attached facial accessories ,YES,"Mark, Daymond, Kevin, Lori, Robert",Health,Arts,Consumer_Goods_and_Services,Healthcare,Textiles_and_Nonwovens,Recreation
99,6,6,6.8,10/24/14,Oilerie USA,a chain of specialty olive oil stores ,NO,"Mark, Barbara, Kevin, Lori, Robert",Business,Home,Food_and_Related_Products,Retail_Trade,Hospitality,Science
99,6,6,6.8,10/24/14, Honeyfund,a crowdfunding service that allows wedding guests to donate money toward the honeymoon trip rather than purchase traditional gifts ,YES,"Mark, Barbara, Kevin, Lori, Robert",Recreation,Home,Telecommunications,Arts_and_Entertainment,Retail_Trade,Society
99,6,6,6.8,10/24/14, EmergenSee,a personal security system smartphone app ,NO,"Mark, Barbara, Kevin, Lori, Robert",Computers,Business,Telecommunications,Business_Services,Information_Technology,Home
